State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
United States,541361525,163056,209619,434486889,130866,405728552,157101,224660453,67.7,208928899,80.9,194382921,58.5,181485362,70.3,305587745,209425680,26348100,0,16015198,164985307,253035590,450794,71071639,107653875,15535986,121421,70989631,94869269,15507819,118643,179946593,67.7,208928899,80.9,54.2,167076206,64.7,224660453,53961229,98.5,46990061,85.8,22389849,22315898,2231279,53035,115746366,211247,988030,224045726,79,194246191,68.5,71067887,107524272,15532697,121335,433735417,152982,190943,26087147,13.4,26056188,14.4,21049797,22.1,15203768,32.4,9360281,16461979,257167,7720,14870995,8209974,975039,N/A,15314797,8543067,238255,7682,14564229,297937,5041,3788,402822,7798772,5529,2851,314428,432745,227486,380,33318,13613,199,663,97.9,2,0,0,4.9,95,0.1,0,32.2,44.4,23.3,0,69.7,28.5,0.4,1.4
Alaska,1226085,167602,222293,900255,123062,837971,151927,439841,60.1,406742,73.7,388583,53.1,360418,65.3,672465,476620,77000,0,37561,350666,511335,693,146347,207453,34704,79,145957,179820,34567,74,355279,60.1,406742,73.7,48.6,327248,59.3,439841,82505,90.1,75737,82.7,41811,30598,3296,32,186212,203315,1338700,438460,72,387710,63.7,146343,206586,34702,79,897987,147482,201368,74808,19.3,74584,20.7,53228,31.3,32510,42.9,28538,45720,539,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,7504060,153045,196705,4994724,101867,4743815,124350,2701228,55.1,2558833,67.1,2218371,45.2,2109698,55.3,3824280,3332780,347000,0,147735,2189222,2657568,199,944024,1126943,146922,482,943581,1018797,146839,481,2082090,55.1,2558833,67.1,42.5,1973497,51.7,2701228,761791,89.6,657852,77.4,348548,273990,34995,319,1550223,182414,883000,2700777,64.5,2218279,53,944013,1126871,146913,482,4994234,119283,179228,287703,13,287301,13.6,245098,19.4,182205,27.7,120788,163551,3355,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4632070,153491,199861,3345747,110867,3122772,134739,1771524,58.7,1645368,71,1463416,48.5,1365957,58.9,2427630,1988040,216400,0,104182,1431851,1806659,3055,617657,743032,101953,774,616551,647229,101436,741,1367032,58.7,1645368,71,45.3,1270059,54.8,1771524,468728,89.5,399929,76.3,224671,160136,14692,430,979206,186913,884182,1764063,69,1461901,57.2,617646,741649,101834,772,3336841,130486,181135,212045,14.5,211794,15.5,172056,22.4,126752,31.7,82458,127717,1494,376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,75120,158508,239732,66424,140159,55006,175542,35339,74.6,29291,93.5,31162,65.8,25828,82.4,53820,20700,600,0,546,18204,47673,1,8401,22206,555,0,8385,16889,554,0,30613,74.6,29291,93.5,64.6,25280,80.7,35339,2913,88.9,2661,81.2,1125,1511,25,0,5597,170744,2291640,35327,95.7,31155,84.4,8400,22200,555,0,66405,179876,203483,503,1.6,499,1.9,285,3,120,4.5,126,377,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,11197660,153841,198594,9031636,124083,8427145,149458,4503839,61.9,4179957,74.1,3904725,53.6,3638181,64.5,6225960,4440300,531400,0,309482,3599978,5104938,17238,1503555,2099868,296337,4965,1502940,1834427,295910,4904,3622296,61.9,4179957,74.1,49.8,3356165,59.5,4503839,1200479,91.7,1058474,80.9,513493,495135,47164,2682,2711520,207202,855676,4501755,72.5,3904325,62.9,1503530,2099735,296096,4964,9029423,145494,180431,493565,12.6,492576,13.5,407781,20.6,308460,29.1,156651,333153,3544,217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,279490,N/A,N/A,247411,N/A,247409,N/A,128985,N/A,128983,N/A,123439,N/A,123438,N/A,143910,119980,15600,0,12559,101640,133182,30,47540,63455,12444,0,47540,63455,12443,0,111445,N/A,128983,N/A,0,111445,0,128985,3609,0,3535,0,1696,1659,180,0,7390,0,0,128983,0,123438,0,47540,63455,12443,0,247409,0,0,6966,5.6,6966,5.6,2446,8.8,416,11.8,3149,3709,88,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,66034425,167124,215675,55861390,141377,51576571,168454,29895805,75.7,27498391,89.8,24475803,61.9,22586199,73.8,38123765,24755860,3154800,0,1988020,21033079,32825650,14641,8828256,13701518,1941814,4215,8802732,11845313,1934226,3928,22701759,75.7,27498391,89.8,57.5,20819636,68,29895805,6149789,99.9,4895674,83.9,2459629,2242585,192152,1308,12608027,215961,1131090,29740444,88.4,24426707,72.6,8827822,13653242,1941437,4206,55656615,165417,196261,3110515,12.7,3107345,13.8,2377586,22.3,1652357,33.8,1129126,1944389,36763,237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,9358475,162509,208002,8008825,139073,7445021,165474,3950776,68.6,3645420,81,3580787,62.2,3323887,73.9,5314535,3617540,426400,0,292315,3120282,4590282,5946,1343526,1953779,281788,1694,1339841,1701833,280579,1634,3336070,68.6,3645420,81,57.9,3080322,68.5,3950776,797624,94.7,732955,87,349981,357169,25198,607,1878791,223025,1110910,3923201,79.5,3572608,72.4,1343504,1945652,281761,1691,7972844,161522,189594,629882,17.6,629058,18.9,471296,30.5,333411,45.5,239217,384015,6587,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,6453635,181013,227413,5592294,156854,5182189,182610,2864703,80.3,2643935,93.2,2537914,71.2,2353177,82.9,3591495,2560340,301800,0,216767,2054435,3319936,1156,898975,1425580,212948,411,898490,1241610,212769,308,2343265,80.3,2643935,93.2,65.7,2158692,76.1,2864703,676577,99.9,590392,93.7,232347,336868,21087,90,1503040,238485,1023990,2855776,91.9,2537349,81.7,898687,1425387,212867,408,5582646,179741,207783,370757,14.6,370511,15.7,317202,25.1,238185,40.3,129122,238593,3030,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
